DisplayName,DisplayVersion,ProcessName,InstallDate,ContentType,PackageIdentifiers
macOS 14.5," 14.5",softwareupdated,2024-07-28T10:02:40Z,,
Pages," 14.0",installer,2024-07-28T10:04:46Z,,"[
 ""com.apple.pkg.Pages14""
]"
,,installer,2024-07-28T10:04:47Z,,"[
 ""com.apple.cdm.pkg.Pages_MASReceipt""
]"
GarageBand,10.4.11,installer,2024-07-28T10:05:16Z,,"[
 ""com.apple.pkg.GarageBand_AppStore""
]"
,,installer,2024-07-28T10:05:17Z,,"[
 ""com.apple.cdm.pkg.GarageBand_MASReceipt""
]"
Keynote," 14.0",installer,2024-07-28T10:05:34Z,,"[
 ""com.apple.pkg.Keynote14""
]"
,,installer,2024-07-28T10:05:35Z,,"[
 ""com.apple.cdm.pkg.Keynote_MASReceipt""
]"
Numbers," 14.0",installer,2024-07-28T10:05:50Z,,"[
 ""com.apple.pkg.Numbers14""
]"
,,installer,2024-07-28T10:05:51Z,,"[
 ""com.apple.cdm.pkg.Numbers_MASReceipt""
]"
iMovie," 10.4",installer,2024-07-28T10:06:30Z,,"[
 ""com.apple.pkg.iMovie_AppStore""
]"
,,installer,2024-07-28T10:06:31Z,,"[
 ""com.apple.cdm.pkg.iMovie_MASReceipt""
]"
MobileAssets,,installer,2024-07-28T10:06:45Z,,"[
 ""com.apple.pkg.MobileAssets""
]"
MAContent10_AssetPack_0048_AlchemyPadsDigitalHolyGhost,2.0.0.0,installer,2024-07-28T10:06:46Z,,"[
 ""com.apple.pkg.MAContent10_AssetPack_0048_AlchemyPadsDigitalHolyGhost""
]"
MAContent10_AssetPack_0310_UB_DrumMachineDesignerGB,2.0.0.0,installer,2024-07-28T10:06:47Z,,"[
 ""com.apple.pkg.MAContent10_AssetPack_0310_UB_DrumMachineDesignerGB""
]"
