Laddr,Lport,Raddr,Rport,Pid,Status,Type,ProcInfo,CallChain,ChildrenTree
PRIVATE_IP_REDACTED,52062,162.125.40.1,443,39471,ESTAB,TCP,"{
 ""Pid"": ""39471"",
 ""Name"": ""/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider"",
 ""Ppid"": ""1"",
 ""CommandLine"": ""/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uZ2V0ZHJvcGJveC5kcm9wYm94LmZpbGVwcm92aWRlciIsInR5cGUiOjF9"",
 ""_Argv"": [
  ""/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider"",
  ""-LaunchArguments"",
  ""eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uZ2V0ZHJvcGJveC5kcm9wYm94LmZpbGVwcm92aWRlciIsInR5cGUiOjF9""
 ],
 ""CreateTime"": ""2026-09-10T05:48:53.00000064Z"",
 ""Times"": {
  ""user"": 46.83271045833333,
  ""system"": 56.4712475
 },
 ""Exe"": ""/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider"",
 ""Cwd"": ""/Users/REDACTED_USER/Library/Containers/com.getdropbox.dropbox.fileprovider/Data"",
 ""Uid"": 501,
 ""Username"": ""REDACTED_USER"",
 ""MemoryInfo"": {
  ""rss"": 23822336,
  ""vms"": 446030659584,
  ""swap"": 44099
 },
 ""StartTime"": ""2026-09-10T05:48:53.00000064Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider,
2401:4900:1c9a:87a9:8c12:2b:f6b5:27bd,52061,2620:100:6031:19::a27d:5113,443,39470,ESTAB,TCP,"{
 ""Pid"": ""39470"",
 ""Name"": ""/Applications/Dropbox.app/Contents/MacOS/Dropbox"",
 ""Ppid"": ""1"",
 ""CommandLine"": ""/Applications/Dropbox.app/Contents/MacOS/Dropbox /firstrunupdate 18667"",
 ""_Argv"": [
  ""/Applications/Dropbox.app/Contents/MacOS/Dropbox"",
  ""/firstrunupdate"",
  ""18667""
 ],
 ""CreateTime"": ""2026-09-10T05:48:53.000000317Z"",
 ""Times"": {
  ""user"": 130.516354,
  ""system"": 86.700852125
 },
 ""Exe"": ""/Applications/Dropbox.app/Contents/MacOS/Dropbox"",
 ""Cwd"": ""/"",
 ""Uid"": 501,
 ""Username"": ""REDACTED_USER"",
 ""MemoryInfo"": {
  ""rss"": 113541120,
  ""vms"": 1938095734784,
  ""swap"": 125920
 },
 ""StartTime"": ""2026-09-10T05:48:53.000000317Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",/Applications/Dropbox.app/Contents/MacOS/Dropbox,
PRIVATE_IP_REDACTED,52060,162.125.40.1,443,39470,ESTAB,TCP,"{
 ""Pid"": ""39470"",
 ""Name"": ""/Applications/Dropbox.app/Contents/MacOS/Dropbox"",
 ""Ppid"": ""1"",
 ""CommandLine"": ""/Applications/Dropbox.app/Contents/MacOS/Dropbox /firstrunupdate 18667"",
 ""_Argv"": [
  ""/Applications/Dropbox.app/Contents/MacOS/Dropbox"",
  ""/firstrunupdate"",
  ""18667""
 ],
 ""CreateTime"": ""2026-09-10T05:48:53.000000317Z"",
 ""Times"": {
  ""user"": 130.516354,
  ""system"": 86.700852125
 },
 ""Exe"": ""/Applications/Dropbox.app/Contents/MacOS/Dropbox"",
 ""Cwd"": ""/"",
 ""Uid"": 501,
 ""Username"": ""REDACTED_USER"",
 ""MemoryInfo"": {
  ""rss"": 113541120,
  ""vms"": 1938095734784,
  ""swap"": 125920
 },
 ""StartTime"": ""2026-09-10T05:48:53.000000317Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",/Applications/Dropbox.app/Contents/MacOS/Dropbox,
127.0.0.1,8889,127.0.0.1,52059,67154,ESTAB,TCP,"{
 ""Pid"": ""67154"",
 ""Name"": ""/Users/REDACTED_USER/velociraptor/velociraptor"",
 ""Ppid"": ""67152"",
 ""CommandLine"": ""/Users/REDACTED_USER/velociraptor/velociraptor --config server.config.yaml frontend"",
 ""_Argv"": [
  ""/Users/REDACTED_USER/velociraptor/velociraptor"",
  ""--config"",
  ""server.config.yaml"",
  ""frontend""
 ],
 ""CreateTime"": ""2026-09-14T05:04:38.000000253Z"",
 ""Times"": {
  ""user"": 8.724542375,
  ""system"": 7.725244958333333
 },
 ""Exe"": ""/Users/REDACTED_USER/velociraptor/velociraptor"",
 ""Cwd"": ""/Users/REDACTED_USER/velociraptor"",
 ""Uid"": 501,
 ""Username"": ""REDACTED_USER"",
 ""MemoryInfo"": {
  ""rss"": 73383936,
  ""vms"": 451530801152,
  ""swap"": 3873
 },
 ""StartTime"": ""2026-09-14T05:04:38.000000253Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",/Users/REDACTED_USER/velociraptor/velociraptor,
127.0.0.1,52059,127.0.0.1,8889,42643,ESTAB,TCP,"{
 ""Pid"": ""42643"",
 ""Name"": ""/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking"",
 ""Ppid"": ""1"",
 ""CommandLine"": ""/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking"",
 ""_Argv"": [
  ""/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking""
 ],
 ""CreateTime"": ""2026-09-11T02:24:39.000000352Z"",
 ""Times"": {
  ""user"": 365.16029425,
  ""system"": 248.84981308333332
 },
 ""Exe"": ""/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking"",
 ""Cwd"": ""/System/Volumes/Preboot/Cryptexes/Incoming/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc"",
 ""Uid"": 501,
 ""Username"": ""REDACTED_USER"",
 ""MemoryInfo"": {
  ""rss"": 34996224,
  ""vms"": 450911485952,
  ""swap"": 81439
 },
 ""StartTime"": ""2026-09-11T02:24:39.000000352Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,
fe80:b::c9d:426e:8257:26a0,52057,fe80:b::486:626d:b60b:a72a,49163,994,ESTAB,TCP,"{
 ""Pid"": ""994"",
 ""Name"": ""/usr/libexec/rapportd"",
 ""Ppid"": ""1"",
 ""CommandLine"": ""/usr/libexec/rapportd"",
 ""_Argv"": [
  ""/usr/libexec/rapportd""
 ],
 ""CreateTime"": ""2026-08-27T19:48:27.000000813Z"",
 ""Times"": {
  ""user"": 59.620875625,
  ""system"": 43.86425183333333
 },
 ""Exe"": ""/usr/libexec/rapportd"",
 ""Cwd"": ""/"",
 ""Uid"": 501,
 ""Username"": ""REDACTED_USER"",
 ""MemoryInfo"": {
  ""rss"": 13959168,
  ""vms"": 445877747712,
  ""swap"": 83070
 },
 ""StartTime"": ""2026-08-27T19:48:27.000000813Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",/usr/libexec/rapportd,
::,52056,::,0,994,LISTEN,TCP,"{
 ""Pid"": ""994"",
 ""Name"": ""/usr/libexec/rapportd"",
 ""Ppid"": ""1"",
 ""CommandLine"": ""/usr/libexec/rapportd"",
 ""_Argv"": [
  ""/usr/libexec/rapportd""
 ],
 ""CreateTime"": ""2026-08-27T19:48:27.000000813Z"",
 ""Times"": {
  ""user"": 59.620875625,
  ""system"": 43.86425183333333
 },
 ""Exe"": ""/usr/libexec/rapportd"",
 ""Cwd"": ""/"",
 ""Uid"": 501,
 ""Username"": ""REDACTED_USER"",
 ""MemoryInfo"": {
  ""rss"": 13959168,
  ""vms"": 445877747712,
  ""swap"": 83070
 },
 ""StartTime"": ""2026-08-27T19:48:27.000000813Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",/usr/libexec/rapportd,
0.0.0.0,52056,0.0.0.0,0,994,LISTEN,TCP,"{
 ""Pid"": ""994"",
 ""Name"": ""/usr/libexec/rapportd"",
 ""Ppid"": ""1"",
 ""CommandLine"": ""/usr/libexec/rapportd"",
 ""_Argv"": [
  ""/usr/libexec/rapportd""
 ],
 ""CreateTime"": ""2026-08-27T19:48:27.000000813Z"",
 ""Times"": {
  ""user"": 59.620875625,
  ""system"": 43.86425183333333
 },
 ""Exe"": ""/usr/libexec/rapportd"",
 ""Cwd"": ""/"",
 ""Uid"": 501,
 ""Username"": ""REDACTED_USER"",
 ""MemoryInfo"": {
  ""rss"": 13959168,
  ""vms"": 445877747712,
  ""swap"": 83070
 },
 ""StartTime"": ""2026-08-27T19:48:27.000000813Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",/usr/libexec/rapportd,
2401:4900:1c9a:87a9:8c12:2b:f6b5:27bd,52049,2620:100:6031:19::a27d:5113,443,39471,ESTAB,TCP,"{
 ""Pid"": ""39471"",
 ""Name"": ""/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider"",
 ""Ppid"": ""1"",
 ""CommandLine"": ""/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uZ2V0ZHJvcGJveC5kcm9wYm94LmZpbGVwcm92aWRlciIsInR5cGUiOjF9"",
 ""_Argv"": [
  ""/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider"",
  ""-LaunchArguments"",
  ""eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uZ2V0ZHJvcGJveC5kcm9wYm94LmZpbGVwcm92aWRlciIsInR5cGUiOjF9""
 ],
 ""CreateTime"": ""2026-09-10T05:48:53.00000064Z"",
 ""Times"": {
  ""user"": 46.83271045833333,
  ""system"": 56.4712475
 },
 ""Exe"": ""/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider"",
 ""Cwd"": ""/Users/REDACTED_USER/Library/Containers/com.getdropbox.dropbox.fileprovider/Data"",
 ""Uid"": 501,
 ""Username"": ""REDACTED_USER"",
 ""MemoryInfo"": {
  ""rss"": 23822336,
  ""vms"": 446030659584,
  ""swap"": 44099
 },
 ""StartTime"": ""2026-09-10T05:48:53.00000064Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",/Applications/Dropbox.app/Contents/PlugIns/DropboxFileProvider.appex/Contents/MacOS/DropboxFileProvider,
127.0.0.1,8000,127.0.0.1,51970,0,ESTAB,TCP,"{
 ""Pid"": ""0"",
 ""Name"": ""kernel_task"",
 ""Ppid"": ""0"",
 ""CommandLine"": ""kernel_task"",
 ""_Argv"": [
  ""kernel_task""
 ],
 ""CreateTime"": ""2026-08-27T19:46:29.000000611Z"",
 ""Times"": {
  ""user"": 0,
  ""system"": 17839.559202125
 },
 ""Exe"": """",
 ""Cwd"": ""/"",
 ""Uid"": 0,
 ""Username"": ""root"",
 ""MemoryInfo"": {
  ""rss"": 0,
  ""vms"": 362473455616,
  ""swap"": 0
 },
 ""StartTime"": ""2026-08-27T19:46:29.000000611Z"",
 ""EndTime"": ""0001-01-01T00:00:00Z""
}",kernel_task,
